_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal,Everything Merged,,depDOW
650cd989d8f21ca9fdf7d19a,02:17.7,EK376,DXB,BKK,21/9/2023 23:45,22/9/2023 06:25,EK376DXBBKK45190.989583333345191.2673611111,,
650cd98ad8f21ca9fdf7d19b,02:18.2,EK366,DXB,TPE,21/9/2023 23:40,22/9/2023 08:15,EK366DXBTPE45190.986111111145191.34375,,
650ce789a0084d6267786ff1,02:01.4,BA212,BOS,LHR,21/9/2023 23:15,22/9/2023 05:50,BA212BOSLHR45190.9687545191.2430555556,,
650ce78aa0084d6267786ff3,02:02.3,EK368,DXB,DPS,21/9/2023 23:25,22/9/2023 08:35,EK368DXBDPS45190.975694444445191.3576388889,,
650ce78ba0084d6267786ff7,02:03.9,EK241,DXB,YYZ,21/9/2023 23:30,22/9/2023 13:30,EK241DXBYYZ45190.979166666745191.5625,,
650ce78ca0084d6267786ff8,02:04.4,EK226,SFO,DXB,22/9/2023 00:05,22/9/2023 15:40,EK226SFODXB45191.003472222245191.6527777778,,
650ce78da0084d6267786ff9,02:05.0,EK71,DXB,CDG,22/9/2023 00:05,22/9/2023 07:25,EK71DXBCDG45191.003472222245191.3090277778,,
650ce78da0084d6267786ffa,02:05.2,EK318,DXB,NRT,21/9/2023 22:40,22/9/2023 08:35,EK318DXBNRT45190.944444444445191.3576388889,,
650ce78da0084d6267786ffb,02:05.7,EK306,DXB,PEK,21/9/2023 23:50,22/9/2023 07:25,EK306DXBPEK45190.993055555645191.3090277778,,
650ce78da0084d6267786ffc,02:05.9,LH425,BOS,MUC,22/9/2023 00:05,22/9/2023 07:15,LH425BOSMUC45191.003472222245191.3020833333,,
650ce78ea0084d6267786ffd,02:06.3,QR900,DOH,PER,21/9/2023 23:25,22/9/2023 10:20,QR900DOHPER45190.975694444445191.4305555556,,
650ce78ea0084d6267786ffe,02:06.8,EK212,IAH,DXB,22/9/2023 00:55,22/9/2023 15:45,EK212IAHDXB45191.038194444445191.65625,,
