_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal
650cbd4c22881c84b3787109,2023-09-21 22:01:48.790000,EK10,LGW,DXB,2023-09-21 20:45:00,2023-09-22 03:35:00
650ccb5271d436878948ff33,2023-09-21 23:01:38.818000,EK412,SYD,CHC,2023-09-21 21:50:00,2023-09-22 00:55:00
650c76f954b119fc1dc3576b,2023-09-21 17:01:45.422000,BA287,LHR,SFO,2023-09-21 13:05:00,2023-09-22 00:10:00
650c3f758386173002aae8f7,2023-09-21 13:04:53.872000,EK206,MXP,DXB,2023-09-21 12:05:00,2023-09-21 18:10:00
650c4cdd39ed09d0c37d81ee,2023-09-21 14:02:05.867000,EK78,NCE,DXB,2023-09-21 13:55:00,2023-09-21 20:10:00
650c3f5a8386173002aae8bb,2023-09-21 13:04:26.733000,EK226,SFO,DXB,2023-09-21 00:05:00,2023-09-21 15:40:00
650c76f854b119fc1dc3576a,2023-09-21 17:01:44.483000,EK381,HKG,DXB,2023-09-21 16:35:00,2023-09-22 00:20:00
650c68d56faec3fa0f5a08c6,2023-09-21 16:01:25.680000,EK367,TPE,DXB,2023-09-21 15:35:00,2023-09-22 00:20:00
650cbd4e22881c84b378710c,2023-09-21 22:01:50.218000,EK4,LHR,DXB,2023-09-21 19:40:00,2023-09-22 02:35:00
650c5ab31f1f721d775d60bd,2023-09-21 15:01:07.574000,EK16,LGW,DXB,2023-09-21 13:35:00,2023-09-21 20:40:00
650c4cdd39ed09d0c37d81ed,2023-09-21 14:02:05.667000,EK88,ZRH,DXB,2023-09-21 13:25:00,2023-09-21 19:45:00
650ccb5571d436878948ff3a,2023-09-21 23:01:41.959000,QR11,DOH,LHR,2023-09-21 22:05:00,2023-09-22 05:25:00
650c3f6d8386173002aae8e6,2023-09-21 13:04:45.208000,EK75,DXB,CDG,2023-09-21 10:40:00,2023-09-21 18:00:00
650c76f754b119fc1dc35768,2023-09-21 17:01:43.791000,SQ237,SIN,MEL,2023-09-21 16:25:00,2023-09-21 23:50:00
650c4cd139ed09d0c37d81d1,2023-09-21 14:01:53.266000,EK74,CDG,DXB,2023-09-21 13:35:00,2023-09-21 20:20:00
650ca118c19ab1a2ade3a586,2023-09-21 20:01:28.396000,KE18,LAX,ICN,2023-09-21 19:30:00,2023-09-22 08:50:00
650caf0925acc1436c31b58a,2023-09-21 21:00:57.078000,EK377,BKK,DXB,2023-09-21 19:50:00,2023-09-22 02:00:00
650c3f758386173002aae8f6,2023-09-21 13:04:53.392000,EK5,DXB,LHR,2023-09-21 11:45:00,2023-09-21 19:15:00
650c4cd939ed09d0c37d81e3,2023-09-21 14:02:01.039000,EK148,AMS,DXB,2023-09-21 13:20:00,2023-09-21 19:59:00
650c3f6a8386173002aae8de,2023-09-21 13:04:42.060000,EK12,LGW,DXB,2023-09-21 09:05:00,2023-09-21 16:00:00
650ce78ba0084d6267786ff7,2023-09-22 01:02:03.915000,EK241,DXB,YYZ,2023-09-21 23:30:00,2023-09-22 13:30:00
650c3f618386173002aae8ca,2023-09-21 13:04:33.790000,KE17,ICN,LAX,2023-09-21 05:30:00,2023-09-21 16:40:00
650c3f638386173002aae8d0,2023-09-21 13:04:35.876000,EK448,DXB,AKL,2023-09-21 06:05:00,2023-09-21 21:50:00
650c932861ef37facca0c4c1,2023-09-21 19:02:00.055000,EK242,YYZ,DXB,2023-09-21 18:30:00,2023-09-22 07:15:00
650ca116c19ab1a2ade3a581,2023-09-21 20:01:26.066000,EK385,BKK,DXB,2023-09-21 18:35:00,2023-09-22 00:45:00
650caf0a25acc1436c31b58d,2023-09-21 21:00:58.527000,EK801,DXB,JED,2023-09-21 20:10:00,2023-09-21 23:10:00
650ce78aa0084d6267786ff3,2023-09-22 01:02:02.329000,EK368,DXB,DPS,2023-09-21 23:25:00,2023-09-22 08:35:00
650c3f668386173002aae8d7,2023-09-21 13:04:38.959000,QF12,LAX,SYD,2023-09-21 06:40:00,2023-09-21 21:45:00
650cf599428c11d50b243a2a,2023-09-22 02:02:01.001000,EK802,JED,DXB,2023-09-22 01:10:00,2023-09-22 03:55:00
650cf59a428c11d50b243a2d,2023-09-22 02:02:02.425000,KE81,ICN,JFK,2023-09-22 01:00:00,2023-09-22 15:05:00
650cd987d8f21ca9fdf7d196,2023-09-22 00:02:15.668000,EK420,DXB,PER,2023-09-21 22:45:00,2023-09-22 09:35:00
650c932361ef37facca0c4b8,2023-09-21 19:01:55.803000,KE82,JFK,ICN,2023-09-21 17:25:00,2023-09-22 08:45:00
650cf599428c11d50b243a2b,2023-09-22 02:02:01.494000,EK309,PEK,DXB,2023-09-21 23:25:00,2023-09-22 07:35:00
650ca117c19ab1a2ade3a584,2023-09-21 20:01:27.710000,EK409,MEL,DXB,2023-09-21 19:15:00,2023-09-22 09:05:00
650caf0a25acc1436c31b58c,2023-09-21 21:00:58.025000,EK76,CDG,DXB,2023-09-21 19:55:00,2023-09-22 02:35:00
650ccb5471d436878948ff36,2023-09-21 23:01:40.234000,EK414,DXB,SYD,2023-09-21 22:15:00,2023-09-22 12:05:00
650ce78da0084d6267786ffa,2023-09-22 01:02:05.198000,EK318,DXB,NRT,2023-09-21 22:40:00,2023-09-22 08:35:00
650c3f708386173002aae8ec,2023-09-21 13:04:48.327000,NH184,NRT,HNL,2023-09-21 11:10:00,2023-09-21 18:45:00
650c3f5f8386173002aae8c6,2023-09-21 13:04:31.849000,EK215,DXB,LAX,2023-09-21 04:55:00,2023-09-21 21:15:00
650c932761ef37facca0c4c0,2023-09-21 19:01:59.855000,OZ742,BKK,ICN,2023-09-21 18:10:00,2023-09-21 23:55:00
650c3f728386173002aae8f1,2023-09-21 13:04:50.769000,EK764,JNB,DXB,2023-09-20 17:15:00,2023-09-21 01:30:00
650cd984d8f21ca9fdf7d18f,2023-09-22 00:02:12.638000,EK384,DXB,BKK,2023-09-21 22:50:00,2023-09-22 05:30:00
650c5ab61f1f721d775d60c5,2023-09-21 15:01:10.824000,QR901,PER,DOH,2023-09-21 15:00:00,2023-09-22 02:15:00
650cd985d8f21ca9fdf7d190,2023-09-22 00:02:13.110000,EK11,DXB,LGW,2023-09-21 22:45:00,2023-09-22 06:20:00
650c3f698386173002aae8dc,2023-09-21 13:04:41.097000,SQ406,SIN,DEL,2023-09-21 08:50:00,2023-09-21 14:40:00
650c3f738386173002aae8f4,2023-09-21 13:04:51.936000,QF2,SIN,SYD,2023-09-21 11:30:00,2023-09-21 19:10:00
650c3f6f8386173002aae8e9,2023-09-21 13:04:47.129000,EK19,DXB,MAN,2023-09-21 10:30:00,2023-09-21 18:15:00
650c5ab41f1f721d775d60bf,2023-09-21 15:01:08.538000,QR835,BKK,DOH,2023-09-21 13:00:00,2023-09-21 19:50:00
650c3f768386173002aae8f8,2023-09-21 13:04:54.383000,EK91,DXB,MXP,2023-09-21 11:45:00,2023-09-21 18:30:00
650c3f778386173002aae8fb,2023-09-21 13:04:55.815000,EK131,DXB,DME,2023-09-21 12:15:00,2023-09-21 17:30:00
650c3f738386173002aae8f3,2023-09-21 13:04:51.442000,EK923,DXB,CAI,2023-09-21 11:15:00,2023-09-21 15:05:00
650c3f708386173002aae8ed,2023-09-21 13:04:48.831000,EK413,SYD,DXB,2023-09-21 11:10:00,2023-09-22 01:40:00
650c932261ef37facca0c4b6,2023-09-21 19:01:54.866000,EK924,CAI,DXB,2023-09-21 17:05:00,2023-09-21 20:40:00
650c932661ef37facca0c4be,2023-09-21 19:01:58.902000,SQ423,BOM,SIN,2023-09-21 18:10:00,2023-09-21 23:40:00
650ca118c19ab1a2ade3a587,2023-09-21 20:01:28.883000,EK415,SYD,DXB,2023-09-21 20:00:00,2023-09-22 10:10:00
650c932661ef37facca0c4bc,2023-09-21 19:01:58.171000,EK704,MRU,DXB,2023-09-21 17:50:00,2023-09-22 00:25:00
650c3f5d8386173002aae8c1,2023-09-21 13:04:29.392000,EK202,JFK,DXB,2023-09-21 03:00:00,2023-09-21 15:45:00
650c3f648386173002aae8d2,2023-09-21 13:04:36.831000,EK406,DXB,MEL,2023-09-21 06:05:00,2023-09-21 19:30:00
650c3f668386173002aae8d6,2023-09-21 13:04:38.482000,EK434,DXB,BNE,2023-09-21 06:35:00,2023-09-21 20:25:00
650c3f5d8386173002aae8c2,2023-09-21 13:04:29.898000,EK380,DXB,HKG,2023-09-21 06:05:00,2023-09-21 14:00:00
650c4cdc39ed09d0c37d81ea,2023-09-21 14:02:04.208000,BA213,LHR,BOS,2023-09-21 13:40:00,2023-09-21 21:00:00
650cd986d8f21ca9fdf7d194,2023-09-22 00:02:14.728000,QR834,DOH,BKK,2023-09-21 23:00:00,2023-09-22 06:00:00
650c4cdd39ed09d0c37d81ec,2023-09-21 14:02:05.172000,EK355,SIN,DXB,2023-09-21 13:40:00,2023-09-21 20:50:00
650c3f5c8386173002aae8bf,2023-09-21 13:04:28.430000,SQ308,SIN,LHR,2023-09-21 01:00:00,2023-09-21 14:40:00
650c3f6d8386173002aae8e5,2023-09-21 13:04:45.005000,OZ741,ICN,BKK,2023-09-21 10:30:00,2023-09-21 16:10:00
650caf0b25acc1436c31b58f,2023-09-21 21:00:59.921000,BA57,LHR,JNB,2023-09-21 20:25:00,2023-09-22 07:15:00
650c3f5b8386173002aae8bd,2023-09-21 13:04:27.731000,QF11,SYD,LAX,2023-09-21 00:20:00,2023-09-21 14:05:00
650cd983d8f21ca9fdf7d18d,2023-09-22 00:02:11.675000,EK203,DXB,JFK,2023-09-21 22:50:00,2023-09-22 12:50:00
650cd986d8f21ca9fdf7d192,2023-09-22 00:02:14.052000,EK354,DXB,SIN,2023-09-21 23:05:00,2023-09-22 07:00:00
650caf0825acc1436c31b589,2023-09-21 21:00:56.608000,SQ319,LHR,SIN,2023-09-21 19:50:00,2023-09-22 08:55:00
650ce78da0084d6267786ffb,2023-09-22 01:02:05.662000,EK306,DXB,PEK,2023-09-21 23:50:00,2023-09-22 07:25:00
650cbd4b22881c84b3787107,2023-09-21 22:01:47.831000,EK52,MUC,DXB,2023-09-21 20:35:00,2023-09-22 02:30:00
650c3f678386173002aae8d8,2023-09-21 13:04:39.460000,EK308,DXB,PEK,2023-09-21 06:40:00,2023-09-21 14:20:00
650ccb5771d436878948ff3d,2023-09-21 23:01:43.585000,BA206,MIA,LHR,2023-09-21 21:00:00,2023-09-22 05:50:00
650cf59b428c11d50b243a30,2023-09-22 02:02:03.272000,SQ830,SIN,PVG,2023-09-22 01:30:00,2023-09-22 07:05:00
